box_size,nt,median_s,allocs
3,1,0.012225249,46.0
5,1,0.010762558,42.0
7,1,0.014805369,40.0
9,1,0.019421018,40.0
11,1,0.023578627,38.0
13,1,0.029731218,38.0
15,1,0.037850356,36.0
17,1,0.035911301,38.0
19,1,0.040825344,38.0
21,1,0.048357459000000005,38.0
23,1,0.058965003,36.0
25,1,0.07536071700000001,36.0
27,1,0.083771487,36.0
29,1,0.141155573,36.0
31,1,0.11320577200000001,36.0
33,1,0.458771912,33.0
35,1,0.122446676,33.0
37,1,0.139937005,33.0
39,1,0.162408773,33.0
41,1,0.17925048200000002,33.0
43,1,0.20237518000000002,33.0
45,1,0.222502956,33.0
47,1,0.249695092,33.0
49,1,0.254005682,31.0
51,1,0.28006941900000004,31.0
3,4,0.008769831,46.0
5,4,0.011290007000000001,42.0
7,4,0.014382639000000001,40.0
9,4,0.018968961,40.0
11,4,0.022974311,38.0
13,4,0.02931531,38.0
15,4,0.140990751,36.0
17,4,0.035433095000000005,38.0
19,4,0.043123129,38.0
21,4,0.050505150000000006,38.0
23,4,0.061252077,36.0
25,4,0.072018412,36.0
27,4,0.08253516400000001,36.0
29,4,0.09586100900000001,36.0
31,4,0.112118461,36.0
33,4,0.109897192,33.0
35,4,0.122917438,33.0
37,4,0.14311916600000002,33.0
39,4,0.15622191800000002,33.0
41,4,0.18018320000000002,33.0
43,4,0.205270587,33.0
45,4,0.22264172000000002,33.0
47,4,0.250301141,33.0
49,4,0.255656941,31.0
51,4,0.282392933,31.0
3,8,0.008939823000000001,46.0
5,8,0.010438163,42.0
7,8,0.014225941,40.0
9,8,0.022854544,40.0
11,8,0.026573013000000003,38.0
13,8,0.033528023000000004,38.0
15,8,0.039959152000000005,36.0
17,8,0.036715614,38.0
19,8,0.042277937,38.0
21,8,0.049708439,38.0
23,8,0.060724107000000006,36.0
25,8,0.072732505,36.0
27,8,0.08519699800000001,36.0
29,8,0.101825283,36.0
31,8,0.11615531200000001,36.0
33,8,0.11163990400000001,33.0
35,8,0.161661137,33.0
37,8,0.217358446,33.0
39,8,0.177844689,33.0
41,8,0.17928728200000002,33.0
43,8,0.20642374300000002,33.0
45,8,0.22654500700000002,33.0
47,8,0.25692263000000004,33.0
49,8,0.25683864100000003,31.0
51,8,0.283004682,31.0
