nt,N,time
1,1,2.3244000000000003e-5
1,10,0.00022384300000000002
1,50,0.001124507
1,100,0.00224216
1,200,0.00449511
1,400,0.008973788
1,500,0.011447797000000001
1,1000,0.022798251000000002
1,2000,0.045425908
4,1,2.3033e-5
4,10,9.3066e-5
4,50,0.000321008
4,100,0.0006038440000000001
4,200,0.0012052030000000002
4,400,0.002483704
4,500,0.0031372020000000004
4,1000,0.006410783000000001
4,2000,0.012726686000000001
8,1,2.3083000000000002e-5
8,10,5.6657e-5
8,50,0.000245124
8,100,0.00040889500000000005
8,200,0.000932256
8,400,0.001920508
8,500,0.002505125
8,1000,0.004870455
8,2000,0.009197301
