box_size,python_s,julia_s,speedup
3,0.01206156,0.006577785999979824,0.5453511817691761
5,0.010747329,0.006807732000197575,0.6334347818139349
7,0.014408307,0.006919513999491755,0.4802447643218426
9,0.019101762,0.007019422999292146,0.3674751574902957
11,0.023337249,0.006983915999626333,0.29926046551700813
13,0.029485132,0.00694719700004498,0.23561695433634078
15,0.037699340000000005,0.006871221999972477,0.1822637213270173
17,0.035365596,0.00689673099986976,0.19501243524553524
19,0.041011506,0.006851535999885527,0.16706375035058518
21,0.048792203000000006,0.006786491999264399,0.13908968199825694
23,0.059169691,0.006751003999852401,0.11409564399875606
25,0.072181321,0.006671714000731299,0.0924299238127174
27,0.083193822,0.006680079999568989,0.08029538539014337
29,0.09541777000000001,0.006624925000323856,0.06943072553806125
31,0.110972309,0.00661251200017432,0.05958704527067486
33,0.10810441400000001,0.0065935460006585345,0.060992384646370995
35,0.12403193000000001,0.006624403999921924,0.05340886012111497
37,0.487190202,0.006592974999875878,0.013532651052526459
39,0.15838073,0.006525578000037058,0.04120184317900958
41,0.17929344400000002,0.006580682000276283,0.036703416775664605
43,0.201260407,0.006519917000332498,0.03239542788131447
45,0.22363364900000002,0.00656750699999975,0.02936725769743063
47,0.250089018,0.006438071999582462,0.025743121593537793
49,0.248460332,0.006509567000648531,0.026199622886475617
51,0.27956361,0.006541278000440798,0.02339817403431297
